drawing_id,drawing_number,drawing_name
1,A-5088-23-111,AMPHENOL BRKT. ARC SUPPRESSOR
2,E-5284-11-30,A-V BAGMAKER CROSS BAR
3,H-PE-10095-13,CR3 EXTRUDER LINE 4 NDC SYSTEMS SCANNER FRAMEWORK
4,H-11106-06$04,CR3 TTP SYSTEM -ROLLER
5,H-PE-10054-1-2,DECK PLATE
6,B-5358-51-2,END PLATE INDEX ARM
7,K-8499-31-10,FAB #4 BAG SEPARATOR STAGE 3 (CUTTER) INPUT CABLES
8,K-8499-31-15$9,FAB #4 BAG SEPARATOR WIRING DIAGRAM
9,K-3298-35-7,LIFECARE BAG SEPARATOR MAIN CONTROL (BACK PANEL)
10,E-MD-5284-35,LIMIT SWITCH ASS'Y (ASSPORT) BAGMAKER #15
11,B-5088-17-34,"MTG. ANGLE (L.H,) PUSH BUTTON BOX"
12,K-MD-BF8-54$2,NO.8 BAGMAKER FULL-FILL MAIN ELECTRICAL SCHEMATIC
13,B-6210-1,PART-FILL FILLING LINE CLEARANCE ZONES
14,E-8499-3-6-2,PULLER BAR SUPPORT
15,K-MD-5206-32,R.F. TRANSMISSION ASSEMBLY PERIMETER PRESS
16,K-AU-1-E10387-31$1,RINSE/DRY & DIGI CNTL PNL (#5015) WIRING  (SHT 1 OF 2)
17,K-AU-1-E10387-31$2,RINSE/DRY & DIGI CNTL PNL (#5015) WIRING  (SHT 2 OF 2)
18,B-5345-37-7,ROLLER FOIL COMP. BUSHING
19,E-5088-19-11,SHAFT DRAWING
20,B-MD-11206-01,SPLICE TABLE ASSEMBLY FIRST STAGE
21,K-MD-5284-24$23,THERMAL TRANSFER PRINTER (TTP) SCANNER 3 AND 4 SCHEMATIC DIAGRAM
22,K-MD-5284-24$24,THERMAL TRANSFER PRINTER (TTP) SCANNER 3 AND 4 SCHEMATIC DIAGRAM
23,K-MD-5284-24$15,THERMAL TRANSFER PRINTER (TTP) SCHEMATIC DIAGRAM
24,K-MD-5284-24$16,THERMAL TRANSFER PRINTER (TTP) SCHEMATIC DIAGRAM
25,K-MD-5284-24$20,THERMAL TRANSFER PRINTER (TTP) SERVO CABLING SCHEMATIC DIAGRAM
26,H-5358-99-28$14,TTP PRINTER SHEETER SYSTEM SCHEMATIC DIAGRAM
27,H-5358-99-28$17,TTP PRINTER SHEETER SYSTEM SCHEMATIC DIAGRAM
28,E-MD-5137-10,VOLUME BUBBLE TEST STAND VISIV 500-1000ML *E-VIEW*
29,B-5137-10-2,YOKE (AIR VOLUME BUBBLE TEST STAND)
30,B-5335-16-3,"""HOT STAMP TAKEUP ROLLER BACKSIDE BEARING SIDE SUPPORT"" SUPPORT BLOCK"
31,B-5335-16-4,"""HOT STAMP TAKEUP ROLLER BACKSIDE BEARING SUPPORT"" BEARING BLOCK SUPPORT"
32,K-5335-16-2,"""HOT STAMP TAKEUP ROLLER BACKSIDE PLATE"" DRIVEN SIDE TAKE UP BRACKET"
33,K-5335-16-1,"""HOT STAMP TAKEUP ROLLER FRONTSIDE PLATE"" MOTOR SIDE PLATE TAKE UP BRACKET"
34,D-312353,# 45 GEAR CASE ASS'Y (SERIES 81)
35,K-8301-99-05,#1 MANDREL SEALER P.C. CONTROL PANEL WIERING DIAGRAM
36,K-8301-99-01,#1 MANDREL SEALER P.C. CONTROL PANEL WIRING DIAGRAM
37,K-8301-99-02,#1 MANDREL SEALER P.C. CONTROL PANEL WIRING DIAGRAM
38,K-8301-99-03,#1 MANDREL SEALER P.C. CONTROL PANEL WIRING DIAGRAM
39,K-8301-99-04,#1 MANDREL SEALER P.F. CONTROL PANEL WIRING DIAGRAM
40,K-8301-99-06,#1 MANDRREL SEALER P.C. POWER AND CONTROL CABLES
41,K-81601-99-02,#15 MANDREL SEALER P.C. CONTROL PANEL WIRING DIAGRAM
42,K-81601-99-03,#15 MANDREL SEALER P.C. CONTROL PANEL WIRING DIAGRAM
43,K-81601-99-04,#15 MANDREL SEALER P.C. CONTROL PANEL WIRING DIAGRAM
44,K-81601-99-05,#15 MANDREL SEALER P.C. CONTROL PANEL WIRING DIAGRAM
45,K-81601-99-06,#15 MANDREL SEALER POWER AND CONTROL CABLES
46,K-81701-99-01,#16 MANDREL SEALER P.C. CONTROL PANEL WIRING DIAGRAM
47,K-81701-99-02,#16 MANDREL SEALER P.C. CONTROL PANEL WIRING DIAGRAM
48,K-81701-99-03,#16 MANDREL SEALER P.C. CONTROL PANEL WIRING DIAGRAM
49,K-81701-99-04,#16 MANDREL SEALER P.C. CONTROL PANEL WIRING DIAGRAM
50,K-81701-99-05,#16 MANDREL SEALER P.C. CONTROL PANEL WIRING DIAGRAM
51,K-81701-99-06,#16 MANDREL SEALER POWER AND CONTROL CABLES
52,K-8401-99-01,#2 MANDREL SEALER P.C. CONTROL PANEL WIRING DIAGRAM
53,K-8401-99-02,#2 MANDREL SEALER P.C. CONTROL PANEL WIRING DIAGRAM
54,K-8401-99-04,#2 MANDREL SEALER P.C. CONTROL PANEL WIRING DIAGRAM
55,K-8401-99-05,#2 MANDREL SEALER P.C. CONTROL PANEL WIRING DIAGRAM
56,K-8401-99-06,#2 MANDREL SEALER P.C.POWERE AND CONTROL CABLES
57,K-8401-99-03,#2 MANDRL SEALER P.C. CONTROL PANEL WIRING DIAGRAM
58,K-81601-99-01,$15 MANDREL SEALER P.C. CONTROL PANEL WIRING DIAGRAM
59,K-AU-1-P2339$3 (reserved),(ELECTRICAL SCHEMATIC CLAVE 5 - ABA3100 24VDC POWER
60,E-3298-8-13,(FACING FRONT) LEFT SIDE MOUNTING BRACKET
61,B-AU-1-P2890$1,(OF) CA MANIFOLD WEST SIDE OF ROOM 1302
62,B-AU-1-P2889,(OF)CA MANIFOLD CV2009 THRU CV5809 RM 1305
63,E-9214-16,(REAR) POROUS PLASTIC SHEET
64,E-5143-7-25,(T.P.O. FILLER TO FILL P.F. BAGS) BAG CLAMP FIXED JAW
65,E-5143-7-24,(T.P.O. FILLER TO FILL P.F. BAGS) BAG CLAMP-SWIVEL JAW
66,B-2414-14,.063 SPACER FOR SHORT MANDREL TUBE RETAINER
67,B-2414-15,.125 SPACER FOR SHORT MANDREL TUBE RETAINER
68,B-5358-93-12,.25 & 1.187 DIE HOLDER BLOCK
69,B-2414-20,.25 SPACER FOR LONG MANDREL TUBE RETAINER
70,B-2414-5,.25 SPACER FOR SHORT MANDREL TUBE RETAINER
71,B-5358-93-07,".25 X1.187""DIE BUTTON"
72,B-5358-93-06,".25 X1.187""PUNCH"
73,B-5358-93-09,.250 PUNCH HOLDER
74,B-2414-21,.313 SPACER FOR LONG MANDREL TUBE RETAINER
75,B-2414-6,.313 SPACER FOR SHORT MANDREL TUBE RETAINER
76,B-43277,.375 O.D. X .245 I.D. NOZZLE ASSEMBLY
77,B-2414-22,.375 SPACER FOR LONG MANDREL TUBE RETAINER
78,B-2414-7,.375 SPACER FOR SHORT MANDREL TUBE RETAINER
79,B-2414-23,.438 SPACER FOR LONG MANDREL TUBE RETAINER
80,B-2414-8,.438 SPACER FOR SHORT MANDREL TUBE RETAINER
81,K-MD-3584,.5 AND 1 LITER TEST TANK ASSEMBLY
82,B-4121-99,.5 PSI TESTER ELECTRICAL SCHEMATIC
83,B-4121-98,.5 PSI TESTER PNEUMATIC DIAGRAM
84,B-2414-9,.5 SPACER FOR SHORT MANDREL TUBE RETAINER
85,B-2414-24,.50 SPACER FOR LONG MANDREL TUBE RETAINER
86,B-2414-25,.563 SPACER FOR LONG MANDREL TUBE RETAINER
87,B-2414-10,.563 SPACER FOR SHORT MANDREL TUBE RETAINER
88,B-2414-26,.625 SPACER FOR LONG MANDREL TUBE RETAINER
89,B-2414-11,.625 SPACER FOR SHORT MANDREL TUBE RETAINER
90,B-2414-27,.688 SPACER FOR LONG MANDREL TUBE RETAINER
91,B-2414-12,.688 SPACER FOR SHORT MANDREL TUBE RETAINER
92,B-2414-28,.75 SPACER FOR LONG MANDREL TUBE RETAINER
93,B-2414-13,.75 SPACER FOR SHORT MANDREL TUBE RETAINER
94,B-2414-29,.813 SPACER FOR LONG MANDREL TUBE RETAINER
95,B-2414-30,.875 SPACER FOR LONG MANDREL TUBE RETAINER
96,B-2414-31,.938 SPACER FOR LONG MANDREL TUBE RETAINER
97,R-MD-5088-200,`ILL PORT (STA 2) BOWL FEEDER ASS'Y
98,B-E21020,"0.5 ITER LIFECARE, 3-7 PSI TESTER PANEL FABRICATION SPECIFICATION"
99,B-E21220,"0.5 LITER LIFECARE, 3 - 7 PSI TESTER PANEL DOOR TAG LAYOUT"
100,H-MD-2420,"0.5 LITER LIFECARE, 3 AND 3.5 COBRA CAP AND ADMINISTRATION PORT TESTER CONTROL PANEL"
101,K-MD-21320,"0.5 LITER LIFECARE, 3/7 & 10 PSI PERIMETER SEAL TESTER CONTROL PANEL"
102,B-E2820,"0.5 LITER LIFECARE, 3-7 PSI TESTER PANE ELECTRICAL SCHEMATIC"
103,B-E2920,"0.5 LITER LIFECARE, 3-7 PSI TESTER PANE ELECTRICAL SCHEMATIC"
104,B-M21120,"0.5 LITER LIFECARE, 3-7 PSI TESTER PANEL PANEL LAYOUT"
105,B-E2220,"0.5 LITER LIFECARE, 80 PSI PNEUMATIC SCHEMATIC"
106,E-E2320,"0.5 LITER LIFECARE, 80 PSI TEST PANEL WIRING DIAGRAM"
107,H-MD-2120,"0.5 LITER LIFECARE, ELECTRICAL ENCLOSURE, 80 PSI TEST"
108,H-MD-2520,"0.5 LITER LIFFECARE, 3 / 7 & 10 PSI PERIMETER SEAL TESTER CONTROL PANEL"
109,H-MD-1488,0.5 PSI ADD-VANTAGE OVERWRAP TESTER
110,H-1488-1,0.5 PSI ELECTRICAL SCHEMATIC & ENCLOSURE
111,E-MD-5358-18,04.00 X 4.00 STROKE HOT STAMP CYLINDER SUB-ASS'Y.
112,H-9317-10-12,0500 WIREWAY SUPPORT
113,H-9417-10-12,0500 WIREWAY SUPPORT
114,B-AU-1-P2830,1 COMP.AIR FOR AIR BLOW TO RM2301A (WELDMAP)
115,H-MD-5121-35$1,1 KW POWER SUPPLY LAYOUT (SHEET 1)  (IN IVFILL FILE)
116,H-MD-5121-35$2,1 KW POWER SUPPLY LAYOUT (SHEET 2)  (IN IVFILL FILE)
117,K-5284-50-1,"1 LITER DIE - 2 PORT DOWN PRESSURECUFFABLE""(CSP)"""
118,K-5284-14-1,1 LITER DIE - HEAVY DEXTROSE MULTI-PART CONST.
119,K-5284-14-1-1,1 LITER DIE (CSP)
120,K-5088-216-1-1,1 LITER DIE DETAIL LIFE CARE II (CSP)
122,K-5284-50-1-1,"1 LITER DIE, 2 PORT DOWN PRESSURE CUFFABLE"
123,K-5011-53-1,1 LTR. DIE POD 4-UP (CSP) (PN 121806)
124,B-AU-1-P2831,1 NITROGEN FOR AIR BLOW TO RM2301A (WELDMAP)
125,B-E91420,1 PORT (IRR & PF) 3 AND 7 PSI TESTER ELEC. AS-BUILT
126,B-MD-91520,1 PORT (IRR & PF) 3 AND 7 PSI TESTER FIXTURE AS-BUILT
127,B-MD-91320,1 PORT (IRR & PF) 3 AND 7 PSI TESTER PANEL AS-BUILT
128,B-E91720,1 PORT (PF & AV) 3 AND 7 PSI TESTER ELEC. AS-BUILT
129,B-MD-91620,1 PORT (PF & AV) 3 AND 7 PSI TESTER PANEL AS-BUILT
130,B-MD-91820,1 PORT (PF &AV) 3 AND 7 PSI TESTER FIXTURE AS-BUILT
131,B-AU-1-P8500$2,1 PURW TO ROOM 2804 WELDMAP
132,A-11517-2-11,"1 TOECLAMP"""
133,H-9317-1-90-62,"1""  AIR REPRESENTATION"
134,H-9417-1-90-62,"1""  AIR REPRESENTATION"
135,B-2414-32,1.00 SPACER FOR LONG MANDREL TUBE RETAINER
136,B-5358-93-20,1.1875 (OFFSET) PUNCH RETAINER BLOCK
137,B-5358-93-08,1.1875 DIE HOLDER
138,B-5358-93-05,1.1875 PUNCH RETAINER BLOCK
139,B-5119-4-21-A&B,"1.5 WIDER HEAD ARM,WIRE TENSION"""
140,B-5119-4-2,"1.5 WIDER HEAD BRACKET"""
141,B-5119-4-20,"1.5 WIDER HEAD WIRE CLAMP"""
142,B-5119-4-25,"1.5 WIDERHEADFRAME,SIDE"
