part_id,part_number,part_name
1,A115957,KIT REBUILD VALVE
2,A120404,"VALVE BYPASS 1-1/2"" 110-120V"
3,A115934,FILTER OIL ELEMENT (2/KIT)
4,A115951,GASKET KIT OIL COOLER
5,A115982,SEAL OIL
6,A126327,SEAL OIL 2ND STAGE
7,A126329,SEAL OIL 2ND STAGE
8,A138959,MODULE OUTPUT AC
9,A104316,FILTER AIR COMPRESSOR
10,A104317,FILTER AIR COMPRESSOR
11,A110304,BEARING BALL
12,A115935,O-RING OIL FILTER
13,A115950,GASKET GUIDE VANE
14,A115991,GEAR BULL
15,A122526,COOLER OIL
16,A124929,LEAD PROBE VIBRATION
17,A124930,PROBE VIBRATION
18,A115295,FUSE 200 AMP
19,A115936,FILTER OIL MIST ELEMENT
20,A115937,O-RING INLET 1ST STAGE
21,A115938,GASKET INLET COVER 2ND STAGE
22,A115939,O-RING INLET 2ND STAGE
23,A115940,GASKET INLET COVER 3RD STAGE
24,A115941,O-RING INLET 3RD STAGE
25,A115942,SHIM DIFFUSER 2ND STAGE
26,A115945,GASKET #1 HEADER INTER- COOLER
27,A115946,GASKET #2 HEADER INTER- COOLER
28,A115947,GASKET FRONT TUBE SHEET
29,A115948,GASKET REAR HEADER
30,A115949,O-RING AIR & OIL SEAL
31,A115952,SHIM DIFFUSER 1ST STAGE
32,A115953,O-RING PINION BEARING
33,A115954,SHIM INLET 3RD STAGE
34,A115955,SHIM DIFFUSER 3RD STAGE
35,A115956,INTERCOOLE CORE  AND TUBESHEETS
36,A115958,MOTOR ACTUATOR
37,A115980,SLEEVE BEARING BULL GEAR
38,A115981,SLEEVE BEARING BULL GEAR
39,A115983,SEAL AIR
40,A115984,BEARING ASSEMBLY 1ST STAGE
41,A115985,BEARING ASSEMBLY 2ND STAGE
42,A115986,BEARING ASSEMBLY 3RD STAGE
43,A115987,BEARING ASSEMBLY 4TH STAGE
44,A115988,BEARING INNER
45,A121319,GASKET SPLIT LINE KIT
46,A121858,TRANSDUCER BEARING OIL PRESSURE
47,A123428,ACTUATOR ARM W/MOTOR
48,A125429,LUBRICANT SRI GREASE 2
49,A125905,TRANSDUCER  MOTOR CURRENT
50,A125906,TRANSDUCER OIL PRESSURE
51,A125908,PROBE VIBRATION STAGE 1 2  &3
52,A125909,SUPPLY POWER ASSEMBLY
53,A125910,RELAY CONTROL 240V AC
54,A125911,SUPPLY POWER ASSEMBLY
55,A125912,PROXIMITOR
56,A125917,BOARD ASSEMBLY QBC/EPROM
57,A125918,CABLE Q2000 ASSEMBLY
58,A125920,CABLE Q2000 ASSEMBLY
59,A125921,SWITCH OIL TANK LEVEL
60,A126328,SEAL OIL 1ST & 3RD STAGES
61,A128140,BAFFLE INTER COOLER
62,A128236,"KIT INTERCOOLR ""Y"" SEALS"
63,A128355,COUPLING RIGID MOTOR MAIN DRIVE
64,A128356,COUPLING RIGID COMPRESSOR MAIN DRIVE
65,A128357,COUPLING FLEXIBLE ASSY. MAIN DRIVE
