part_id,part_number,part_name,image_id,image_title,image_file_path,association_id
112,A100218,RESISTOR TYPE J 250K-OHM .25 MEG.,320,A100218,DB_IMAGES\A100218.png,1
112,A100218,RESISTOR TYPE J 250K-OHM .25 MEG.,774,A100218,DB_IMAGES\A100218.png,2
113,A100219,CONTROL SPEED 15A 120VAC,673,A100219,DB_IMAGES\A100219.png,3
122,A100762,BELT,1155,A100762,DB_IMAGES\A100762.png,4
123,A100821,REGULATOR PNEUMATIC 1/4,394,A100821,DB_IMAGES\A100821.png,5
140,A107034,REGULATOR 0-30 PSI 4000,204,A107034,DB_IMAGES\A107034.png,6
227,A115833,COVER PLATE CLEAR,307,A115833,DB_IMAGES\A115833.png,7
227,A115833,COVER PLATE CLEAR,887,A115833,DB_IMAGES\A115833.png,8
267,A119449,FITTING KIT VIAL PORT,380,A119449,DB_IMAGES\A119449.png,9
267,A119449,FITTING KIT VIAL PORT,652,A119449,DB_IMAGES\A119449.png,10
486,A139474,OIL SHELL OMALA S2 G 220,792,A139474,DB_IMAGES\A139474.png,11
496,A100156,BLOCK FUSE 30 AMP 600 VOLT,465,A100156,DB_IMAGES\A100156.png,12
496,A100156,BLOCK FUSE 30 AMP 600 VOLT,655,A100156,DB_IMAGES\A100156.png,13
516,A102562,CAM FOLLOWER,480,A102562,DB_IMAGES\A102562.png,14
516,A102562,CAM FOLLOWER,1076,A102562,DB_IMAGES\A102562.png,15
519,A102576,SPROCKET CONVEYOR 1.3125 ID,327,A102576,DB_IMAGES\A102576.png,16
519,A102576,SPROCKET CONVEYOR 1.3125 ID,1151,A102576,DB_IMAGES\A102576.png,17
520,A102577,SPROCKET WITH SPECIAL HOLE,812,A102577,DB_IMAGES\A102577.png,18
774,A114163,"TUBING PLASTIC 1/4"" O.D. 250 FT ROL",490,A114163,DB_IMAGES\A114163.png,19
814,A124318,COUPLING SPIDER OIL PUMP,234,A124318,DB_IMAGES\A124318.png,20
814,A124318,COUPLING SPIDER OIL PUMP,810,A124318,DB_IMAGES\A124318.png,21
955,A120113,CONTROLLER,140,A120113,DB_IMAGES\A120113.png,22
1002,A130487,BULB FLASHING,182,A130487,DB_IMAGES\A130487.png,23
1005,A100721,SWITCH LESS HEAD HEAVY DUTY,1120,A100721,DB_IMAGES\A100721.png,24
1012,A120411,POWER SUPPLY 24 VDC 6.25 AMP,501,A120411,DB_IMAGES\A120411.png,25
1016,A131139,ANALOG INPUT 8 PT,957,A131139,DB_IMAGES\A131139.png,26
1047,A135742,"WIRE WIRE ROPE 1/2""",367,A135742,DB_IMAGES\A135742.png,27
1047,A135742,"WIRE WIRE ROPE 1/2""",1138,A135742,DB_IMAGES\A135742.png,28
1050,A136072,BASE RELAY BASE SOCKET IDEC,207,A136072,DB_IMAGES\A136072.png,29
1062,A113235,BREAKER CIRCUIT 5 AMP,837,A113235,DB_IMAGES\A113235.png,30
1064,A121472,BREAKER CHANNEL MNT 4 AMP 1492-GH040,24,A121472,DB_IMAGES\A121472.png,31
1064,A121472,BREAKER CHANNEL MNT 4 AMP 1492-GH040,176,A121472,DB_IMAGES\A121472.png,32
1070,A126684,KEY GLUE SHOT D018,351,A126684,DB_IMAGES\A126684.png,33
1070,A126684,KEY GLUE SHOT D018,713,A126684,DB_IMAGES\A126684.png,34
1160,A123184,REMOTE BASE CONTROLLER,670,A123184,DB_IMAGES\A123184.png,35
1163,A124244,BASE 16 SLOT 505 TI,497,A124244,DB_IMAGES\A124244.jpg,36
