drawing_id,drawing_number,drawing_name,spare_part_number
121,K-5088-216-1,1 LITER DIE DETAIL LIFE CARE II (IMPROVE MENISCUS SIZE),"115615, 115616, 115617"
900,E-5088-230-29,500 ML 10 DEGREE DIE INSERT LIFE CARE II,"123052, 127227"
916,H-5088-230-28,500ML END DIE,"121307, 121308"
1749,B-2102-3-9,ADD-VNTG. BAG SEP. SPLIT HOLDDOWN LONG BAR,"131053, 131174"
1750,B-2102-3-8,ADD-VNTG. BAG SEP. SPLIT HOLDDOWN SHORT BAR,"131054, 131173"
2015,B-7302-8-4,ADV PRE PUNCH/INDEX STR REM CLAMP FINGER LEFT,"131170, 131172"
3259,K-5209-3-1$2,AUTOCLAVE WATER DISTRIBUTION PAN,"113098, 113099"
3522,B-5337-2-25,BAG BULLET,"132893, 133222"
3651,K-3112-99-131,BAG INFEED CUP ROTATE & GRP/SPRDR MOTOR CABLES ALT1 & ALT2,"141166, 141167"
4530,B-6110-1,BATCH STERILIZATION DEPT CDLR CONVEYOR DRIVE ROLLER SUB-ASSY,"100628, 136373"
5055,K-MD-5109-3-2,BLADE ASSY ROTOR-WATERLOC,"105413, 113436, 117094"
6428,E-6193-1-12,CENTER PIN,"141705, 141706, 141707, 141708, 141709"
6523,B-MD-5109-6-40,CHAIN GUIDE ROLLER,"100868, 116748"
6702,81M-0680,"CLAMP ARM ASSY MK'DDS-CA-L1&DS-CA-L2""""","110475, 114076, 114077"
7128,E-5052-10-4,CODE STAMP 250 ML L.C. 2 (CSP),"121055, 121057"
7774,A-12048,CONTACT STRIP,"121609, 121713"
9858,E-4198-2-21,DELRIN SUPPORT BARS,"128603, 128604"
9859,H-4198-1-4,DELRIN SUPPORT BARS,"128613, 128614, 128615"
9860,H-4198-1-5,DELRIN SUPPORT BARS,"128616, 127617, 128618, 128619"
9861,E-5198-2-21,DELRIN SUPPORT BARS,"128589, 128590"
9862,H-5198-1-4,DELRIN SUPPORT BARS,"128588, 128599, 128600"
9863,H-5198-1-5,DELRIN SUPPORT BARS,"128595, 128596, 128597, 128598"
9969,H-MD-5109-7-5,DETAILS CARRIER CLOSING MECHANISM,"110742, 110743, 110744, 110751"
9970,K-MD-5109-7-4,DETAILS CARRIER CLOSING MECHANISM,"110745, 110746, 116750"
9972,K-MD-5109-7-2,DETAILS CARRIER OPENING MECHANISM,"110747, 110748, 110749, 110750, 110832, 110833, 110834"
10144,E-5052-86-3,"DIE INSERT, LIFE CARE 2-PORT, 500ML 10 DEG. 3-UP (CSP)","119172, 119173"
10204,E-5088-317-22,DIE STAMP (CSP),"121060, 123661"
10661,B-5347-8-95,DRIVE LINK,"132068, 132092, 135329"
10740,E-4198-1-18,"DRIVE SHAFT AND IDLER SHAFT FOR 12 WIDECONVEYOR""","128623, 128624"
10742,E-4198-2-15,"DRIVE SHAFT AND IDLER SHAFT FOR 3 WIDECONVEYOR""","128609, 128610"
13882,B-5347-4-13,FILLER NOZZLE,"126582, 131935"
15414,B-5206-41-24&25,GROUND BAR (RIGHT & LEFT),"118077, 118078"
15427,B-5206-41-17&18,GROUND BUSS (RIGHT & LEFT),"118074, 118075"
17322,E-5088-305-6&7,I.D. INSERT 2 & 3 LITER (PN 132776 & 132775) (CSP),"132775, 132776"
17970,H-MD-5011-53-2,INSERTS-DIE SET/FILM CODE (PN 132778 & 132777) (CSP),"132777, 132778"
19226,H-5052-86-11,LEFT AND RIGHT END DIE-LIFECARE 2 PORT 500ML 10DEG,"127437, 127438"
20324,B-5412$3,"LIFECARE, IRRIGATION & VISIV SPACER SLUGS","119842, 119843"
20326,E-5412$1,"LIFECARE, IRRIGATION & VISIV, PRINT SLUGS","119844, 119845, 119846, 119859, 119860, 119861, 119862, 119863, 119864 119865, 119866, 119867, 119868, 138678, 138679, 138680, 138681, 138682, 138683, 138684, 138685, 138686, 138687, 138688, 138689"
21352,H-MD-5283,MAIN ASSEMBLY,`
24544,E-5312$1,PARTFILL & ADDVANTAGE PRINT SLUGS,"113578, 113579, 113580, 113581, 113582, 113583, 113584, 113585, 113586, 113587, 113588, 113589, 113590, 113591, 113592, 113593, 122582, 122840, 122841, 122842, 122843, 122844, 122845, 122846, 122847, 122848, 122849, 122850, 122851, 122852, 122853, 122854, 122855, 122856, 122857, 122858, 122859, 122860, 122861, 122862, 122863, 122864, 122865, 122866, 135746, 138647, 138648, 138649, 138651, 138652, 138653, 138654, 138655, 138656, 138657, 138658, 138659, 138660, 138661, 138662, 138663, 138664, 138665, 138666, 138667, 138668, 138675, 138676, 138677"
26703,B-5347-17-331,PREALIGNER VERTICAL SHAFT DETAIL DRAWING,"132139, 132267"
28562,E-3490-2-18,RING ELECTRODE (CSP),"121693, 121694, 121695, 121696, 121697, 121698, 121699, 121700"
29991,E-MD-5109-12-12,SHAFT DETAILS #1 THRU #4,"110716, 110717, 110718"
30976,B-19499,SOLID JOURNAL BEARING LEFT STAT.#7,"125815, 125816"
35000,B-MD-5109-6-9,THRUST WASHER PRESSURE VESSEL R. SHAFTS,"105411, 105412"
35704,B-7389,TRAY STOPS STACKERS,"118854, 118856"
37019,A-10564,WASHER,"125810, 125811"
