part_id,part_number,part_name
1,A101576,FILTER TUBE 10/BOX
2,A103406,VALVE FLOW CONTROL 1/4
3,A104316,FILTER AIR COMPRESSOR
4,A104317,FILTER AIR COMPRESSOR
5,A105512,GAUGE PRESSURE BACKMOUNT 0-160 PSI
6,A110304,BEARING BALL
7,A115295,FUSE 200 AMP
8,A115934,FILTER OIL ELEMENT (2/KIT)
9,A115935,O-RING OIL FILTER
10,A115936,FILTER OIL MIST ELEMENT
11,A115937,O-RING INLET 1ST STAGE
12,A115938,GASKET INLET COVER 2ND STAGE
13,A115939,O-RING INLET 2ND STAGE
14,A115940,GASKET INLET COVER 3RD STAGE
15,A115941,O-RING INLET 3RD STAGE
16,A115942,SHIM DIFFUSER 2ND STAGE
17,A115945,GASKET #1 HEADER INTER- COOLER
18,A115946,GASKET #2 HEADER INTER- COOLER
19,A115947,GASKET FRONT TUBE SHEET
20,A115948,GASKET REAR HEADER
21,A115949,O-RING AIR & OIL SEAL
22,A115950,GASKET GUIDE VANE
23,A115951,GASKET KIT OIL COOLER
24,A115952,SHIM DIFFUSER 1ST STAGE
25,A115953,O-RING PINION BEARING
26,A115954,SHIM INLET 3RD STAGE
27,A115955,SHIM DIFFUSER 3RD STAGE
28,A115956,INTERCOOLE CORE  AND TUBESHEETS
29,A115957,KIT REBUILD VALVE
30,A115958,MOTOR ACTUATOR
31,A115974,FUSE 5 AMP AXIAL LEADS
32,A115980,SLEEVE BEARING BULL GEAR
33,A115981,SLEEVE BEARING BULL GEAR
34,A115982,SEAL OIL
35,A115983,SEAL AIR
36,A115984,BEARING ASSEMBLY 1ST STAGE
37,A115985,BEARING ASSEMBLY 2ND STAGE
38,A115986,BEARING ASSEMBLY 3RD STAGE
39,A115987,BEARING ASSEMBLY 4TH STAGE
40,A115988,BEARING INNER
41,A115991,GEAR BULL
42,A120404,"VALVE BYPASS 1-1/2"" 110-120V"
43,A121319,GASKET SPLIT LINE KIT
44,A122526,COOLER OIL
45,A123428,ACTUATOR ARM W/MOTOR
46,A124505,MANIFOLD TRANSMITTR MOUNTING
47,A124506,TRANSMITTR TEMPERATUR SMART
48,A124515,GAUGE PRESSURE SMART TRANSMITTR
49,A124517,SENSOR LEVEL 0-20 IN.
50,A126327,SEAL OIL 2ND STAGE
51,A126329,SEAL OIL 2ND STAGE
52,A128236,"KIT INTERCOOLR ""Y"" SEALS"
53,A129686,TRANSMITER DEWPOINT TEMPERATUR E
54,A129909,TRANSMITTR DEWPOINT
55,A129910,METER MASS FLOW ELEMENT INSERTION
56,A129911,ORIFICE DEWPOINT TRANSMITTE R
57,A133542,OIL
58,A136344,TRAP CONDENSATE COMPRESSED AIR
59,A136370,MOTOR 450H509USS 3600 RPM
60,A140091,"VALVE CHECK 3"""
61,A140608,"GASKET 3"" TYPE E VICTAULIC"
62,A121858,TRANSDUCER BEARING OIL PRESSURE
63,A123310,FILTER OIL DUPLEX ELEMENT
64,A124929,LEAD PROBE VIBRATION
65,A124930,PROBE VIBRATION
66,A128356,COUPLING RIGID COMPRESSOR MAIN DRIVE
67,A128357,COUPLING FLEXIBLE ASSY. MAIN DRIVE
68,A128965,RELAY OPTO COUPLER 240VAC
69,A138959,MODULE OUTPUT AC
70,A110592,"VALVE CHECK B-319 3/4"" 125 PSI"
71,A110593,"VALVE CHECK 1"" BRZ 125#"
72,A126328,SEAL OIL 1ST & 3RD STAGES
73,A128140,BAFFLE INTER COOLER
74,A128560,"SEAL ""Y"" TA18U-TUBE I/C KIT"
75,A137423,O-RING FILTER OIL
76,A138536,TRANSFORME CURRENT
77,A125429,LUBRICANT SRI GREASE 2
78,A125905,TRANSDUCER  MOTOR CURRENT
79,A125906,TRANSDUCER OIL PRESSURE
80,A125908,PROBE VIBRATION STAGE 1 2  &3
81,A125909,SUPPLY POWER ASSEMBLY
82,A125910,RELAY CONTROL 240V AC
83,A125911,SUPPLY POWER ASSEMBLY
84,A125912,PROXIMITOR
85,A125913,LEAD PROBE VIBRATION
86,A125914,KEYPAD MEMBRANE Q2000
87,A125915,FILTER ELECTRONIC EMI/RFI
88,A125917,BOARD ASSEMBLY QBC/EPROM
89,A125918,CABLE Q2000 ASSEMBLY
90,A125919,DISPLAY ALPHANUMER ASSEMBLY QUAD 2000
91,A125920,CABLE Q2000 ASSEMBLY
92,A125921,SWITCH OIL TANK LEVEL
93,A128355,COUPLING RIGID MOTOR MAIN DRIVE
94,A132816,MODULE OUTPUT 120 VAC
95,A130175,SEAL K   HEAT EXCHANGER NO.10 COMP
96,A130176,GASKET FRONT HEAT EXCH.
97,A130177,GASKET OIL COOLER HEAT EXCH. NO.10 COMP
98,A130179,GASKET HEADER HEAT EXCH.
99,A130180,PROBE VIBRATION
100,A130182,VALVE CHECK 4 INCH NO.10 COMP
101,A130185,ASSEMBLY BOARD CONTROL NO.10 COMP
102,A130186,O-RING DRIVE COUPLING NO.10 COMP
103,A130187,GASKET DRIVE COUPLING NO.10 COMP
104,A130188,FILTER INLET AIR SECONDARY NO.10 COMP
105,A130189,FILTER INLET AIR PRIMARY NO.10 COMP
106,A130214,GASKET Y    HEAT EXCHANGER NO.10 COMP
107,A137408,MOTOR 600HP 3565 RPM
108,A137420,KIT GEAR BOX SPLIT LINE
109,A137421,KIT INLET
110,A122455,COMPRESSOR D-8 2900 MSS
111,A100174,BELT
114,A100236,CABLE FOR PM 550
115,A100373,BOARD PC 3801
116,A100470,COUPLING COMPRESSIO N  1
117,A100473,UNILET 1
118,A100474,WASHER REDUCING 1 1/2-1
119,A100480,CONDUIT 1 EMT 10 FOOT
120,A100605,CONTROLLER CALIBRATED TITUS
121,A100761,BELT
124,A100909,FILTER HEPA 24 X 26 X 5-5/8
125,A100914,GAUGE PRESSURE BELLOWS TY
126,A101051,FILTER AIR 24X24X4
127,A102229,GAUGE PRESSURE DIFFERENTL
128,A102371,BEARING
129,A102718,REGULATOR AIR 0-30 PSI PENDING
130,A102744,SWITCH MOTOR STARTER
131,A103217,LAMP MINIATURE
132,A103222,FUSE 2 AMP 125 VOLT FNA
133,A103639,GAUGE PRESSURE 0-100 PSI
134,A103908,GAUGE PRESSURE 0-60 PSI
135,A103987,MODULE AC INPUT
136,A104132,FUSE FRS-R-10
137,A104984,FUSE 2 AMP 250VOLTS FNM
138,A104990,KIT SMOKE
139,A106998,BELT ENVARCO
141,A107538,"BEARING HVAC  FAN 2 3/16"""
142,A107545,BELT HVAC FAN
143,A107546,BELT HVAC FAN
144,A107550,BELT HVAC FAN
145,A107642,GASKET CUSHION BOILER
146,A107658,SUPPLY POWER PM550-210
147,A107664,CABLE EXPANDER 550
148,A107665,"CABLE 48"""
149,A107669,ANALOG OUTPUT
150,A107670,SEQUENCER CONTROLLER 4K
151,A107736,HEATER OVERLOAD W-38
152,A107737,HEATER OVERLOAD W-39
153,A108058,"VALVE GATE 3/4"" THREADED"
154,A108221,GASKET BUNA N
155,A108238,GRID CEILING 24X48X1/2
156,A108257,LAMP MINI
157,A108264,MOUNT FRONT NC LINKAGE
158,A108267,COMPRESSOR SPRING
159,A108268,DIAPHRAGM
160,A108269,KIT SPRING
161,A108271,TIES DAMPER
162,A108272,TIES DAMPER
163,A108273,VALVE HHVAC
164,A108274,VALVE HVAC
165,A108275,VALVE HHVAC
166,A108276,VALVE HVAC
167,A108285,MOTOR DAMPER
168,A108286,MOTOR DAMPER
169,A108287,MOTOR DAMPER
170,A108288,POSITIONER PILOT
171,A108289,POSITIONER PNEUMATIC DAMPER ACTUATOR
172,A108303,BULB SQUEEZE
173,A108310,SWITCH GRADUAL
174,A108311,SWITCH SELECTOR
175,A108314,ELL 1/4 X 1/4
176,A108468,"TAPE FOIL 2"""
177,A108479,BELT V-BELT B40
178,A108480,BELT
179,A108835,SUPPLY POWER 550
180,A108854,SUPPLY POWER 24 VOLT
181,A109133,"FILTER AIR 24""X24""X2"""
182,A109987,BELT V-BELT
183,A110098,THERMOSTAT PNEUMATIC
184,A110430,FILTER GLASFLOSS MEDIA
185,A110465,BRACKET MOUNTING THERMOSTAT
186,A110848,BELT V     A-39
187,A110872,SHELL MALE RS232 DB-25
188,A110873,SHELL FEMALE RS232C
189,A110996,"FITTING STEAMTRAP 1/2"" STEAMING"
190,A112129,SWITCH 3 POSITION SELECTOR MAINTAINED
191,A112438,COIL OPERATING 115/120V 50HRZ
192,A112586,BELT 2=SET
193,A112669,FILTER 12X16X1 SEE EXTEND
194,A112818,LEAD IEST RED 24 INCH
195,A112819,LEAD TEST BLACK 24 INCH
196,A112825,"LEAD TEST BLACK-36"" MINI-"
197,A112826,"LEAD TEST RED - 36"" MINI-"
198,A113004,CAPACITOR 110-125VAC
199,A113068,SEAL WIRE METER LEAD
200,A113097,BELT V
