Drawing Number,Drawing Name,Drawing Spare Part Numbers,Matched Part Number,Part Name,Association ID
E-5143-7-25,(T.P.O. FILLER TO FILL P.F. BAGS) BAG CLAMP FIXED JAW,A104671,A104671,JAW FIXED,1
B-2414-14,.063 SPACER FOR SHORT MANDREL TUBE RETAINER,A140588,A140588,"SPACER 0.063"" TUBECLIP PORT SPACE",2
B-2414-15,.125 SPACER FOR SHORT MANDREL TUBE RETAINER,A140589,A140589,"SPACER 0.125"" TUBE CLIP PORT RETAN",3
K-5284-14-1-1,1 LITER DIE (CSP),A121808,A121808,POD DIE,4
K-5088-216-1-1,1 LITER DIE DETAIL LIFE CARE II (CSP),A115160,A115160,DIE POD 1000 ML,5
K-5088-216-1,1 LITER DIE DETAIL LIFE CARE II (IMPROVE MENISCUS SIZE),"A115615, A115616, A115617",A115615,DIE LEFT END 1 LITER ITEM #2,6
K-5088-216-1,1 LITER DIE DETAIL LIFE CARE II (IMPROVE MENISCUS SIZE),"A115615, A115616, A115617",A115616,DIE RIGHT END 1 LITER,7
K-5088-216-1,1 LITER DIE DETAIL LIFE CARE II (IMPROVE MENISCUS SIZE),"A115615, A115616, A115617",A115617,DIE CENTER 1 LITER,8
K-5284-50-1-1,"1 LITER DIE, 2 PORT DOWN PRESSURE CUFFABLE",A133543,A133543,DIE POD 1L FAB15 POD,9
K-5011-53-1,1 LTR. DIE POD 4-UP (CSP) (PN 121806),A121806,A121806,POD DIE,10
B-1199-46,1/5 PITCH 12 TOOTH PULLEY,A129430,A129430,PULLEY CONVEYOR 12 TOOTH 1/5 PITCH,11
H-5088-317-2,100 ML PART FILL FOR ECS CONTAINER (CSP),A123660,A123660,POD 100 ML ECS,12
H-5088-216-22,1000ML CENTER DIE (CSP) (PN 121311),A121311,A121311,DIE CENTER 1 LITER,13
E-9104-1-1,12 TOOTH DRIVE GEAR,A133096,A133096,GEAR 12 TOOTH DRIVE SEE EXTEND,14
E-MD-9104-1,12 TOOTH DRIVE GEAR ASSEMBLY,A133088,A133088,GEAR 12 TOOTH DRIVE ASSY,15
E-9104-20,12 TOOTH IDLER GEAR,A133092,A133092,GEAR 12 TOOTH IDLER SEE EXTEND,16
B-5335-6-7,1-LTR DIE CLAMP,A122740,A122740,CLAMP DIE,17
K-5088-305-2,2 LITER PERIMETER DIE (CSP),A122208,A122208,POD 2 LTR.,18
K-T-229$2,"22,980 U.S. GALS. S.S. LIFECARE MIXING TANK DETAILS (SHT. 2)",A132597,A132597,GASKET AGITATOR FLANGE TEFLON,19
E-9104-29,24 TOOTH DRIVE GEAR,A133099,A133099,GEAR 24 TOOTH DRIVE,20
E-9104-30,24 TOOTH GRIPPER MOUNTING FLANGE GEAR,A133100,A133100,GEAR 24 TOOTH GRIPPER FLANGE,21
